Country,Hydrocarbon Exports,Non-Hydrocarbon Exports,Total Exports,Year
Bahrain,14404175407,9451695314,23855870721,2014
Kuwait,83283316467,8572144974,91855461441,2014
Saudi Arabia,2.75741E+11,66297281576,3.42038E+11,2014
Qatar,1.20307E+11,10240729346,1.30548E+11,2014
UAE,1.27134E+11,1.10813E+11,2.37947E+11,2014
Oman,36711656135,11380398370,48092054505,2014
Bahrain,6987087984,9397930195,16385018179,2015
Kuwait,46121839582,6933845698,53055685280,2015
Saudi Arabia,1.60042E+11,58140710386,2.18183E+11,2015
Qatar,68680593115,12504300315,81184893430,2015
UAE,75311775238,1.01861E+11,1.77173E+11,2015
Oman,21840299758,13074877985,34915177743,2015
Bahrain,2263376064,7156833289,9420209353,2016
Kuwait,34806424394,6058510746,40864935140,2016
Saudi Arabia,1.45245E+11,52890723216,1.98136E+11,2016
Qatar,50457047371,8069190572,58526237943,2016
UAE,62731624955,1.08338E+11,1.7107E+11,2016
Oman,20612503985,8405725400,29018229385,2016
Bahrain,3424636622,7641096425,11065733047,2017
Kuwait,44256492775,6922226643,51178719418,2017
Saudi Arabia,1.45626E+11,57448652072,2.03075E+11,2017
Qatar,59542798933,8824545277,68367344210,2017
UAE,79914666544,1.36523E+11,2.16438E+11,2017
Oman,20420903787,11551146629,31972050416,2017
Bahrain,5147913097,8937540290,14085453387,2018
Kuwait,44256492775,6922226643,51178719418,2018
Saudi Arabia,1.99607E+11,69293849656,2.689E+11,2018
Qatar,63977685401,10545231592,74522916993,2018
UAE,1.01791E+11,1.44877E+11,2.46668E+11,2018
Oman,27510658681,15146404083,42657062764,2018
Bahrain,6416304783,6829052064,13245356847,2019
Kuwait,50417031847,9416381886,59833413733,2019
Saudi Arabia,1.71411E+11,56273984391,2.27685E+11,2019
Qatar,67873855287,9088170074,76962025361,2019
UAE,96211392208,1.51769E+11,2.4798E+11,2019
Oman,26138680590,11385805384,37524485974,2019
